prop_name,dev_stage,actv_status,country_name,current_stage,production_capacity,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),late_exp_stage_lead_time,late_exp_stage_left_time,fea_stage_lead_time,fea_stage_left_time,dev_stage_lead_time,dev_stage_left_time,latitude,longitude
Murrin Murrin,Operating,Active,Australia,Operating-stage,9066501.157864628,1232530.3769478423,1.03,38686.532071230155,237.0,2353000.0,141400000.0,,,,,,,-28.76913,121.89354
Musongati,Feasibility,Active,Burundi,Feasibility-stage,,,0.96,,184.7,2419570.0,,,,10.0,0.0,,,-3.74421,30.24679
Mwetaung,Reserves Development,Active,Myanmar,Development-stage,7718331.365050386,,1.41,,42.0,592200.0,42000000.0,,,,,9.0,1.0,23.41568,94.01314
Nepean,Feasibility,Active,Australia,Operating-stage,,,0.99,,0.5913,13250.0,,,,15.0,,1.0,,-31.16607,121.08486
Nepean,Exploration,Active,Australia,Development-stage,,,2.24,,0.59,13250.0,,2.0,,21.0,,6.0,4.0,-31.20478,121.06164
New Morning,Reserves Development,Inactive,Australia,Operating-stage,,,1.41,,6.23,87928.0,,,,,,5.0,,-32.45306,119.68
Nickel King,Reserves Development,Active,Canada,Operating-stage,,,0.37,,44.2,,,,,,,4.0,,60.24933,-104.51322
Nickel West,Operating,Active,Australia,Operating-stage,284869.6733885618,303127.83106203703,0.63,63420.54437906581,87226.0,,3128760.0,,,,,,,-27.23056,120.545
Nikkel Og Olivin,Closed,Inactive,Norway,Closed-stage,48372.20460124994,,0.52,,,,600000.0,,,,,,,68.31667,16.68333
Nisk,Reserves Development,Active,Canada,Operating-stage,,,0.97,,3.091,,,,,,,2.0,,51.70532,-75.60596
Niwest,Operating,Active,Australia,Operating-stage,4265942.460606204,479990.97309336055,0.91,19110.7240395585,85.2,878000.0,64900000.0,,,,,,,-28.67722,121.71611
No. 20,Preproduction,Temporarily On Hold,China,Operating-stage,201301.61644572963,,0.655,1260.317163532148,,,1099000.0,,,,,3.0,,42.28194,94.77833
Nonoc,Feasibility,Active,Philippines,Operating-stage,,,1.32,,314.516939,2987911.0,,,,2.0,,4.0,,9.83278,125.61056
North Kambalda,Operating,Active,Australia,Operating-stage,1100669.8996996079,13748.225111494405,2.4,423.6492364521597,,,675000.0,,,,,,,-31.17766,121.69289
Norton,Reserves Development,Active,Canada,Development-stage,214776.7256210872,,0.67,,2.26,,2260000.0,,,,,8.0,1.0,51.90281,-87.42056
Norwest,Target Outline,Active,Brazil,Development-stage,,,1.79,,40.3,,,1.0,,2.0,,9.0,1.0,-13.75285,-60.34082
Nova-Bollinger,Operating,Active,Australia,Operating-stage,3360544.9124127342,38071.10715281594,2.0,24524.30170775556,11.6,234000.0,9500000.0,,,,,,,-31.8139,123.17778
Ntaka Hill,Prefeas/Scoping,Temporarily On Hold,Tanzania,Feasibility-stage,,,0.63,,56.2,356380.0,,1.0,,15.0,8.0,,,-10.10449,38.54364
Nunavik,Operating,Active,Canada,Operating-stage,1311027.6950737403,5969.045060903691,0.89,13191.47323084569,27.15,241970.0,11314328.0,,,,,,,61.420856,-74.1375
Oktyabrsky,Satellite,Active,Russia,Operating-stage,41003.568129875115,,0.735,256.71676955497026,,,74900.0,,,,,2.0,,69.52435,88.34008
Old Nick,Reserves Development,Active,Canada,Operating-stage,,,0.1914,,17.24,,,,,,,2.0,,49.04169,-119.08467
Onca Puma,Operating,Active,Brazil,Operating-stage,19660647.015872236,1824797.4324372371,1.63,3800.1590191936248,225.478,3501942.0,113300000.0,,,,,,,-6.57399,-51.09138
Ontario Division,Operating,Active,Canada,Operating-stage,4410839.962011327,500133.38851777196,1.38,52122.38579974984,58.1,801780.0,58100000.0,,,,,,,46.49222,-81.06667
Pacific Express,Reserves Development,Active,Australia,Operating-stage,,,0.99,,0.697,,,,,,,8.0,,-31.57099,152.79006
Palawan,Operating,Active,Philippines,Operating-stage,1269270.1769171099,26128.67197883771,1.3,3021.3547342186957,,,3354929.577464789,,,,,,,9.22227,118.25453
Pardoo-Highway,Reserves Development,Active,Australia,Operating-stage,,,0.3,,44.7,151700.0,,,,,,5.0,,-20.18773,119.6572
Phoenix,Operating,Active,Botswana,Operating-stage,36131.09427943844,7880.604170739503,0.15,1437.5323392588255,116.756,241500.0,10800000.0,,,,,,,-21.2125,27.77139
Pinares de Mayari,Feasibility,Inactive,Cuba,Feasibility-stage,21332361.9983554,,1.14,,200.0,2000000.0,385964912.2807018,,,19.0,6.0,,,20.56505,-75.70294
Polar Division,Operating,Active,Russia,Operating-stage,11359391.402260853,4683403.024111302,1.12,205381.09091716676,,,663128000.0,,,,,,,69.28199,88.16999
Pomalaa,Operating,Active,Indonesia,Operating-stage,34586808.49514523,134572.5771219573,1.86,22283.442473028572,,,179990000.0,,,,,,,-4.23359,121.60422
Premiere Ridge,Feasibility,Inactive,Canada,Feasibility-stage,136295.42543121392,,0.7275,,,,1150000.0,,,8.0,0.0,,,46.719826,-81.166357
Project 81,Target Outline,Active,Canada,Development-stage,,,0.25,,1150.0,,,1.0,,9.0,,2.0,0.0,48.81578,-81.21795
PT Central Omega Mines,Operating,Active,Indonesia,Operating-stage,6388464.370700685,364738.06314281287,1.7,16460.58412691387,27.0,460000.0,27000000.0,,,,,,,-1.94036,121.29217
PT Yiwan,Operating,Active,Indonesia,Operating-stage,14448186.472081142,805586.9069894865,1.73,36356.038467114086,,,58727706.43200795,,,,,,,-3.195,116.0
Pulot,Satellite,Temporarily On Hold,Philippines,Operating-stage,,,1.51,,9.7,,,,,,,6.0,,9.07643,117.96385
Punta Gorda,Operating,Active,Cuba,Operating-stage,4975172.7396621555,336351.339419643,1.15,21393.86363720487,,,40014219.51374341,,,,,,,20.63556,-74.88194
Pyke Hill,Reserves Development,On Hold Awaiting Higher Prices,Australia,Operating-stage,1560922.6939445536,,0.99,9772.686860939968,10.5,103300.0,10500000.0,,,,,0.0,,-29.04667,122.15
Quicksilver,Reserves Development,Active,Australia,Operating-stage,,,0.64,,26.3,,,,,,,1.0,,-32.77783,118.67075
Radio Hill,Feasibility,Active,Australia,Feasibility-stage,,,0.52,,1.15,,,,,32.0,9.0,,,-20.98235,116.86815
Raglan,Operating,Active,Canada,Operating-stage,7727619.340770748,318613.3382787971,2.2,58609.0390788407,,1943360.0,29900000.0,,,,,,,61.684206,-73.676764
Raglan,Reserves Development,Active,Canada,Development-stage,,,0.6,,8.0,,,,,,,9.0,1.0,61.39782,-74.97753
Ramu,Operating,Active,Papua New Guinea,Operating-stage,3791232.2692288,319514.95060502226,0.9,31877.702426693646,136.0,1284000.0,56000000.0,,,,,,,-5.57,145.195
Rana,Reserves Development,Inactive,Norway,Operating-stage,,,0.36,,9.15,,,,,,,7.0,,68.23472,16.91583
Ranger RKEF Plant,Operating,Active,Indonesia,Operating-stage,10659219.831521707,731865.3433318192,1.8,33028.993326559255,,,51278512.80325195,,,,,,,-2.85174,122.16555
Rautavaara,Reserves Development,Inactive,Finland,Operating-stage,,,0.191,,34.3,100000.0,,,,,,5.0,,63.5,28.31
Rio Negro,Target Outline,Inactive,Guatemala,Development-stage,,,1.5,,30.0,,,1.0,,3.0,,4.0,2.0,15.24778,-90.71889
Rio Tuba,Operating,Active,Philippines,Operating-stage,8067755.376586475,447117.9290820864,1.28,56655.68631196547,61.363,811500.0,60546875.0,,,,,,,8.59975,117.46561
Riverina,Reserves Development,Inactive,Australia,Operating-stage,,,1.01,,2.2,,,,,,,6.0,,-29.745,120.56389
River's Option,Target Outline,Inactive,Canada,Feasibility-stage,,,1.4,,0.019,,,3.0,,11.0,0.0,,,46.82953,-81.31251
Rzanovo,Closed,Care And Maintenance,North Macedonia,Closed-stage,,,0.96,,2.0,22000.0,,,,,,,,41.17,21.986
Sakharevskoye,Reserves Development,,Russia,Operating-stage,364388.1316573412,,0.735,2281.3757019133045,,,2394557.823129252,,,,,0.0,,57.48167,61.62778
Samapleu,Prefeas/Scoping,Active,Cote d'Ivoire,Development-stage,,,0.233,,40.639,95670.0,,1.0,,4.0,,9.0,3.0,7.76179,-7.90051
San Felipe,Reserves Development,Active,Cuba,Operating-stage,,,1.3,,250.0,,,,,,,6.0,,21.54611,-77.96778
Sangaji,Prefeas/Scoping,Active,Indonesia,Feasibility-stage,15272792.48323808,,1.7,,111.2,,67500000.0,0.0,,12.0,6.0,,,0.75,128.155
Ipora,Exploration,Active,Brazil,Development-stage,,,1.295,,62.7,624700.0,,2.0,,4.0,,6.0,1.0,-15.72785,-51.14599
Ipora,Exploration,Active,Brazil,Development-stage,,,1.295,,62.7,624700.0,,0.0,,5.0,,7.0,4.0,-15.72785,-51.14599
Santa Rita,Operating,Active,Brazil,Operating-stage,976668.4222892568,872568.0476389318,0.31,1456.9813062017388,226.88,1172723.0,184600000.0,,,,,,,-14.18902,-39.71144
Santai,Reserves Development,,China,Operating-stage,23237.13783536716,,0.655,145.48399641475788,,31852.0,31852.0,,,,,3.0,,24.43361,98.58861
Savannah,Operating,Active,Australia,Operating-stage,1156119.3916646254,85048.2143831864,1.23,2889.440001910239,13.456,209800.0,8021000.0,,,,,,,-17.35093,128.02609
Scotia,Prefeas/Scoping,Active,Australia,Feasibility-stage,1202298.073360175,,2.0,,1.05,,820000.0,1.0,,6.0,1.0,,,-30.0563,121.22948
Sechol,Operating,Active,Guatemala,Operating-stage,8132822.731929673,253396.05397427577,1.86,18603.359684525978,119.0,1630264.0,19411764.70588235,,,,,,,15.45,-89.64
Segalla,Reserves Development,Inactive,South Africa,Development-stage,,,0.72,,1.5,,,,,,,6.0,0.0,-25.66275,31.09907
Selebi-Phikwe,Operating,Active,Botswana,Operating-stage,222382.71108311226,17624.520412471345,0.325,24471.87405773553,,,49000000.0,,,,,,,-21.94892,27.85471
Selkirk,Feasibility,Active,Botswana,Feasibility-stage,,,0.23,,135.3,315200.0,,,,15.0,1.0,,,-21.31417,27.72861
Zimplats,Operating,Active,Zimbabwe,Operating-stage,88305.7155711094,219159.05803024498,0.1,5484.608677901612,1003.4,1204080.0,250900000.0,,,,,,,-18.03208,30.43344
Shakespeare,Reserves Development,Active,Canada,Operating-stage,,,0.33,,11.83,39000.0,,,,,,2.0,,46.33417,-81.85944
Shangani,Operating,Active,Zimbabwe,Operating-stage,714704.6244438307,130134.9882375941,0.78,811.7829680520425,12.03,68000.0,17286282.05128205,,,,,,,-19.68823,29.22665
Shebandowan,Reserves Development,Inactive,Canada,Operating-stage,133152.94676090422,,0.07,833.6492629352153,84.22,84154.0,40877000.0,,,,,3.0,,48.6029,-90.28384
Shengligou,Reserves Development,Inactive,China,Operating-stage,24507.33643823375,,0.53,153.43650632775652,,,49300.0,,,,,9.0,,31.31181,101.70316
Sherlock Bay,Feasibility Started,Active,Australia,Development-stage,,,0.4,,24.6,99200.0,,,,5.0,,6.0,0.0,-20.81389,117.54111
Shevchenko,Operating,Active,Kazakhstan,Operating-stage,4379486.769816664,735223.4724685167,0.79,14840.407384701404,169.919,1305415.0,104415000.0,,,,,,,51.93812,60.87087
Shongwa,Feasibility,Inactive,Zambia,Feasibility-stage,,,0.995,,8.0,,,,,7.0,0.0,,,-13.865039,25.6125
Sinclair,Reserves Development,Active,Australia,Operating-stage,355693.08930027264,,1.97,2226.937435029308,0.25,,610000.0,,,,,2.0,,-28.37411,120.86445
Skroska,Reserves Development,Active,Albania,Operating-stage,,,1.2,,90.24533,1064894.894,,,,,,7.0,,41.09806,20.50133
SMSP Operation,Operating,Active,New Caledonia,Operating-stage,48058076.715737976,3427235.929776509,2.27,42229.626483873966,,,161745833.3333333,,,,,,,-21.5387,166.07693
Sorowako,Operating,Active,Indonesia,Operating-stage,21416245.587472737,1465046.10744898,1.73,68500.95278745818,321.282,5357361.0,107600000.0,,,,,,,-2.56798,121.37506
South Dinagat,Reserves Development,Inactive,Philippines,Operating-stage,246666.30053279403,,1.65,1471.07170097055,,,280000.0,,,,,4.0,,9.84009,125.61997
South Kambalda,Operating,Active,Australia,Operating-stage,4329420.970026522,49705.48692394131,3.72,1875.5568991035734,,,1627953.0,,,,,,,-31.70085,121.62417
Spargoville,Reserves Development,Active,Australia,Operating-stage,,,1.9,,8.382,141000.0,,,,,,2.0,,-31.29587,121.45081
Stormi,Reserves Development,Inactive,Finland,Operating-stage,,,0.44,,1.6,,,,,,,2.0,,61.33408,23.02725
Subayin,Reserves Development,Inactive,Indonesia,Operating-stage,4637399.187373736,,1.73,29034.013204622435,,200000000.0,36855491.32947977,,,,,7.0,,0.73472,127.56139
Sudbury Operations,Operating,Active,Canada,Operating-stage,7142346.477932021,336164.3236616592,2.15,46677.52066299244,,,28200000.0,,,,,,,46.63706,-81.36921
Summervale,Reserves Development,Inactive,Australia,Operating-stage,,,0.83,,16.0,,,,,,,4.0,,-31.431066,147.034093
Suyeke North,Reserves Development,On Hold Awaiting Financing,China,Operating-stage,,,0.21,,26566.0,226600.0,,,,,,4.0,,45.15417,83.525
Ta Khoa,Operating,Inactive,Vietnam,Closed,677891.7886757666,0.0,2.2,0.0,1.947593,32172.0,387593.0,,,,,,,21.19132,104.32582
Taganito,Operating,Active,Philippines,Operating-stage,9719799.723458318,914532.3501122743,1.17,56929.66306368304,112.465,813610.0,106324786.3247863,,,,,,,9.53,125.81704
Tagaung Taung,Operating,Active,Myanmar,Operating-stage,606473.5422229595,616806.041707395,1.5,14375.323392588252,21294.0,34.328762,693441.0,,,,,,,23.63433,96.16296
Tamarack,Prefeas/Scoping,Active,USA,Feasibility-stage,1067348.0645489693,,1.4,,11.0,,4380000.0,1.0,,11.0,4.0,,,46.67313,-93.12113
Tapunopaka,Operating,Active,Indonesia,Operating-stage,8411422.540963218,199652.55329135555,1.73,19787.209846268535,,,25550000.0,,,,,,,-3.4627,122.28738
Tavai,Reserves Development,Inactive,Malaysia,Operating-stage,,,0.75,,270.0,,,,,,,5.0,,5.58444,117.33278
Terrafame,Operating,Active,Finland,Operating-stage,424185.7200717496,154213.27286297258,0.23,24302.75260605802,1525.0,3828500.0,128200000.0,,,,,,,63.972,28.079
Thabazimbi Smelter,Operating,Active,South Africa,Operating-stage,208339.71463520624,401215.601123531,0.15,2941.8676519302667,544.22,754621.0,270740000.0,,,,,,,-24.83269,27.34336
Tiebaghi,Operating,Active,New Caledonia,Operating-stage,43740158.73241794,3335275.6545282,2.145,41096.51275763465,46200.0,,166578671.3286713,,,,,,,-20.46887,164.21705
Timah Nickel,Operating,Active,Indonesia,Operating-stage,2465471.8170323973,74948.77489784501,1.73,3382.429033550177,,,5463804.850165878,,,,,,,-5.25955,121.82351
Tochilnogorskoye,Reserves Development,,Russia,Development-stage,205108.50154976785,,0.735,,,,1551020.408163265,,,,,8.0,1.0,57.49278,61.18833
Toronto,Satellite,Temporarily On Hold,Philippines,Operating-stage,,,1.55,,44.9,,,,,,,2.0,,9.22227,118.25401
Trident - Enterprise,Operating,Active,Zambia,Operating-stage,3360916.351315419,93282.5734558442,0.99,43240.97276490547,47.0,454340.0,34700000.0,,,,,,,-12.1924,25.21357
Trojan,Operating,Inactive,Zimbabwe,Closed,347546.7311515466,0.0,0.94,0.0,-1.732921e-05,105200.0,2450000.0,,,,,,,-17.32921,31.28224
Tubay,Operating,Active,Philippines,Operating-stage,5435629.334919795,293622.4936775708,1.32,17690.10384546743,7.530315,100906.0,30000000.0,,,,,,,9.20148,125.53631
Tuli,Reserves Development,Inactive,Botswana,Operating-stage,,,0.42,,5.0,,,,,,,5.0,,-23.07892,27.83476
Turnagain,Prefeas/Scoping,Active,Canada,Development-stage,,,0.22,,2215.42,4807461.0,,0.0,,4.0,,4.0,2.0,58.47856,-128.86282
Ufaleynickel,Closed,Inactive,Russia,Closed-stage,437693.11143613514,,0.735,,,,3770000.0,,,,,,,56.04578,60.2605
USSU,Target Outline,Inactive,Indonesia,Feasibility-stage,,,1.2,,35.0,,,3.0,,11.0,5.0,,,-2.57274,121.06934
Valozoro,Reserves Development,Active,Madagascar,Operating-stage,,,1.66,,11.5,,,,,,,2.0,,-20.83,47.24
Venus,Reserves Development,Active,Australia,Operating-stage,1495476.0476398293,,2.7,9362.935895747401,7.4,193200.0,2100000.0,,,,,1.0,,-27.7889,120.6972
Vermelho,Operating,Active,Brazil,Operating-stage,7073727.827138862,1120215.2978506861,0.91,28617.040838351277,148.8,1559610.0,141300000.0,,,,,,,-6.48876,-49.89832
Victoria,Construction Planned,Active,Canada,Operating-stage,,,2.71,,13.56,366964.0,,,,,,0.0,,46.41667,-81.38333
Vila Oito,Feasibility Complete,Active,Brazil,Operating-stage,,,1.36,,10.4,,,,,,,9.0,,-7.87343,-49.34339
Voisey's Bay,Operating,Active,Canada,Operating-stage,13427505.627123663,424424.5589097777,2.1,30441.861301951598,51.9,876790.0,28900000.0,,,,,,,56.33024,-62.09573
Voronezh,Reserves Development,Active,Russia,Operating-stage,608623.5743129374,,0.735,3810.4946715302494,,,5510000.0,,,,,3.0,,51.12167,41.41333
Vulcain,Reserves Development,Active,Canada,Development-stage,,,0.64,,0.605,,,,,,,7.0,0.0,46.81383,-76.70302
Wannaway,Satellite,Care And Maintenance,Australia,Operating-stage,674502.140241773,,1.22,4022.6046631036406,,,4500000.0,,,,,5.0,,-31.60417,121.52508
Waterloo,Grassroots,Inactive,Australia,Development-stage,,,0.99,,1.069,18500.0,,0.0,,7.0,,1.0,0.0,-16.35,129.33
Weda Bay,Operating,Active,Indonesia,Operating-stage,26556254.075325668,3105936.4990712265,1.497,68091.365999713,629.0,9445000.0,233800935.2037408,,,,,,,0.50983,127.96233
Weidabe Industrial Park Smelter,Operating,Active,Indonesia,Operating-stage,9259412.840055121,637064.5866316825,1.73,28750.646785176505,,,46442341.22640996,,,,,,,0.47924,127.98524
West Graham,Reserves Development,Active,Canada,Operating-stage,,,0.45,,10.55,,,,,,,7.0,,46.43266,-81.30323
West Musgrave,Operating,Active,Australia,Operating-stage,1240440.0450103595,563145.3797610995,0.33,28140.1183446207,340.0,1100000.0,220000000.0,,,,,,,-26.08169,127.78308
Windarra,Construction Planned,Care And Maintenance,Australia,Operating-stage,560530.4669807121,,1.7,3088.6624426926783,,,1788000.0,,,,,7.0,,-28.6103,122.24268
Wowo Gap,Feasibility Started,Active,Papua New Guinea,Development-stage,,,1.06,,125.0,1325000.0,,,,9.0,,9.0,4.0,-9.54682,148.91961
Xiari Hamu,Reserves Development,Active,China,Operating-stage,2548090.6257165875,,0.655,15953.187095702091,,,67175572.51908396,,,,,8.0,,36.49306,93.36111
Xiarihamu,Reserves Development,Active,China,Operating-stage,,,0.68,,157.0,1090000.0,,,,,,3.0,,36.1019,94.28569
Yakabindie,Reserves Development,Active,Australia,Development-stage,2885241.6014053714,,0.57,,440.0,2684000.0,150000000.0,,,,,6.0,0.0,-27.4555,120.5775
Yangliuping,Exploration,Inactive,China,Feasibility-stage,,,0.45,,90.0,400000.0,,0.0,,73.0,29.0,,,30.69861,101.90972
Yarawindah Brook,Reserves Development,Active,Australia,Operating-stage,,,0.99,,2.7,,,,,,,4.0,,-31.09306,116.26111
Yasinski,Exploration,Inactive,Canada,Development-stage,,,0.55,,0.357,1963.5,,2.0,,4.0,,4.0,2.0,53.32967,-77.28789
Yerilla,Feasibility,Active,Australia,Development-stage,,,0.73,,140.0,1031100.0,,,,7.0,,5.0,0.0,-29.715142,122.060489
Yerilla,Grassroots,Inactive,Australia,Development-stage,,,0.74,,140.0,1031100.0,,0.0,,2.0,,9.0,1.0,-29.5375,121.9281
Young,Prefeas/Scoping,Active,Australia,Feasibility-stage,,,0.67,,93.3,589070.0,,0.0,,28.0,17.0,,,-34.17786,148.05229
Yuzhuralnickel,Closed,Care And Maintenance,Russia,Closed-stage,,,0.735,,73.5,632100.0,,,,,,,,50.82927,60.97751
Zanzui,Reserves Development,Inactive,Tanzania,Operating-stage,,,0.81,,27.0,219510.0,,,,,,4.0,,-2.93056,33.82611
Zebediela,Prefeas/Scoping,Active,South Africa,Feasibility-stage,,,0.25,,1120.0,,,1.0,,5.0,0.0,,,-24.1218,29.01955
Zhou'an,Feasibility,,China,Operating-stage,95375.44715135434,,0.655,568.8013359292115,,,324300.0,,,2.0,,6.0,,32.48917,112.74361
Doniambo Smelter,Operating,Active,New Caledonia,Operating-stage,23729872.29688873,3294099.411879704,2.1,40589.14840260213,1051.4,19491000.0,69400000.0,,,,,,,-22.25374,166.44314
Mogalakwena,Operating,Active,South Africa,Operating-stage,1275986.5537371533,2259205.368567264,0.19,22011.156935827785,3493.9,6638410.0,1256100000.0,,,,,,,-23.96269,28.89347
Jinchuan,Operating,Active,China,Operating-stage,4617158.015690868,1683473.6767293331,0.96,91325.58390585479,432.0,4536000.0,230416666.6666667,,,,,,,38.4670000003,102.167
Honeymoon Well,Preproduction,Active,Australia,Operating-stage,,,0.68,,512.3119,4007000.0,,,,,,6.0,,-26.92306,120.37889
Maturi,Feasibility,Active,USA,Feasibility-stage,,,0.18,,1644.0,2910300.0,,,,18.0,1.0,,,47.8010000001,-91.7559999997
Turfspruit,Operating,Active,South Africa,Operating-stage,410645.94787197286,358985.9435244655,0.34,11230.509998644975,852.0,2675800.0,124700000.0,,,,,,,-24.088,28.968
Weld Range,Exploration,Active,Australia,Development-stage,,,0.64,,385.3,2465920.0,,3.0,,8.0,,7.0,0.0,-26.8199999999,117.75
Nkamouna - Mada,Operating,Active,Cameroon,Operating-stage,2316003.7934978055,248884.82854192413,0.66,34694.420204382564,322.879,1976435.0,68132000.0,,,,,,,3.266,13.813
Librazhd-Pogradec area,Operating,Active,Albania,Operating-stage,1156910.3589916315,31498.253561083286,1.2,2273.8379178041064,140.7679,1266911.1,3721465.021506034,,,,,,,41.036,20.56
Canegrass,Feasibility,Active,Australia,Operating-stage,359360.6190787878,,0.66,2249.8992512791738,180.0,1194800.0,2045454.545454545,,,10.0,,1.0,,-30.28594,120.9766
Nickel Shaw,Prefeas/Scoping,Active,Canada,Operating-stage,,,0.27,,431.5,1168010.0,,3.0,,5.0,,4.0,,61.46667,-139.53333
Rustenburg Smelter,Operating,Inactive,South Africa,Closed,112141.7242258382,0.0,0.16,0.0,569.2,910720.0,181300000.0,,,,,,,-25.68424,27.32739
Northmet,Operating,Active,USA,Operating-stage,39287.821112252146,194231.95157928343,0.083,8086.542211960087,1252.9,871251.0,290399000.0,,,,,,,47.6000000003,-91.9670000002
Santa Fe,Exploration,Active,Brazil,Operating-stage,,,1.295,,77.3,850500.0,,1.0,,3.0,,7.0,,-15.743,-51.154
Nkomati,Operating,Inactive,South Africa,Closed,106888.50885765496,0.0,0.3,0.0,222.09,800490.0,6790000.0,,,,,,,-25.74111,30.62
Spruce Road,Feasibility,Active,USA,Feasibility-stage,,,0.16,,436.0,696800.0,,,,14.0,4.0,,,47.829,-91.69
Wiluna,Exploration,Active,Australia,Feasibility-stage,,,0.77,,80.5,619850.0,,3.0,,33.0,7.0,,,-26.5709,120.172
Kalpini,Feasibility,Active,Australia,Operating-stage,,,0.73,,75.0,549700.0,,,,3.0,,4.0,,-30.469,122.033
Cajalbana,Exploration,Active,Cuba,Feasibility-stage,,,1.15,,51.360683,534150.0,,1.0,,8.0,2.0,,,22.6,-83.6
Unki,Operating,Active,Zimbabwe,Operating-stage,107040.46159253172,95169.11858946158,0.22,3893.175817616254,-1.9623e-05,492580.0,53500000.0,,,,,,,-19.623,30.095
Birch Lake,Feasibility,Active,USA,Operating-stage,,,0.15,,307.0,470140.0,,,,3.0,,1.0,,47.726,-91.791
Sconi,Operating,Active,Australia,Operating-stage,1598194.5568007769,278352.0148303519,0.58,9328.739274531386,75.72,457602.0,57300000.0,,,,,,,-18.975,144.928
Impala,Operating,Inactive,South Africa,Closed,30575.360302659814,0.0,0.1,0.0,440.7,440700.0,95400000.0,,,,,,,-25.51863,27.23928
Sakatti,Feasibility,Active,Finland,Operating-stage,,,0.96,,44.4,425920.0,,,,6.0,,6.0,,67.55222,26.78167
Mt Goode,Exploration,Active,Australia,Operating-stage,,,0.62,,52.94,326973.0,,3.0,,15.0,,2.0,,-27.623,120.577
Spotted Quoll - Beautiful Sunday,Operating,Inactive,Australia,Closed,7420241.535470435,0.0,4.0,0.0,14.88,293924.0,1598000.0,,,,,,,-32.478,119.677
Bell Creek-Neck-Minnamoolka,Feasibility,Active,Australia,Operating-stage,,,0.7,,40.1,284140.0,,,,17.0,,2.0,,-18.14,144.79
Maturi SW,Feasibility,Active,USA,Operating-stage,,,0.17,,122.0,202220.0,,,,3.0,,1.0,,47.784,-91.793
Kambalda,Operating,Inactive,Australia,Closed,2978688.999997323,0.0,2.8,0.0,4.52,172700.0,2303000.0,,,,,,,-31.18824,121.66786
Mimosa,Operating,Active,Zimbabwe,Operating-stage,32277.904423517703,24958.57672512568,0.14,3331.6925980469246,112.4,157360.0,31600000.0,,,,,,,-20.328,29.825
Mt Thirsty South,Operating,Active,Australia,Operating-stage,671372.0814643342,56008.01105169258,0.54,7864.147503004162,26.9,139880.0,18800000.0,,,,,,,-32.168,121.617
Browns,Reserves Development,Active,Australia,Operating-stage,,,0.11,,84.0,93000.0,,,,,,3.0,,-12.994,131.0
Nindibillup,Exploration,Active,Australia,Operating-stage,,,0.57,,16.01,91268.0,,0.0,,3.0,,2.0,,-33.595,120.346
Carlingup,Feasibility,Active,Australia,Development-stage,,,0.46,,10.39,47776.0,,,,6.0,,7.0,2.0,-33.5929,120.28
Kylylahti,Operating,Inactive,Finland,Closed,10129.373441471267,0.0,0.25,0.0,6.886,19281.0,503000.0,,,,,,,62.858,29.338
Foungouesso-Moyango,Operating,Active,Cote d'Ivoire,Operating-stage,1115549.7761098708,937990.2124754951,2.0,1.6912145167750887,7595.0,46.9,938000.0,,,,,,,7.936,-7.655
Caboclo dos Mangueiros,Target Outline,Inactive,Brazil,Operating-stage,,,0.2,,400.0,,,2.0,,9.0,,2.0,,-9.4,-43.45
Morowali,Operating,Active,Indonesia,Operating-stage,13260947.082534155,726974.2648496295,1.62,50736.43550325266,70.0,,63000000.0,,,,,,,-3.23056,122.325
NICO,Reserves Development,Active,Canada,Operating-stage,1813193.152930235,,0.73125,10813.54497922028,33.08,,32500000.0,,,,,3.0,,63549.0,-116.747
Ram,Feasibility,Active,USA,Operating-stage,,,0.175,,7.0,,,,,3.0,,6.0,,45.138,-114.354
Greenvale,,,Australia,,2407959.5342184445,,1.35,,,,8000000.0,,,,,,,-19.06329,144.74881
Pakal Island,Satellite,Active,Indonesia,Operating-stage,2457463.860882078,,2.01,15385.787443314715,,,7100000.0,,,,,1.0,,0.781,128.331
